Event Data Level Sequence In Catalog,Unq Users level start,Event Data Unq Users Level Started (Before X Days),Unq Users level complete,Event Data Unq Users Level Completed (Before X Days),Unq Users level fail,Event Data # Level Start Events,Event Data # Level Fail Events,Event Data # Level Complete Events,# Level Steps,Avg Stacks Placed to Complete,Unq Users Level complete (1st attempt),Unq Users Level complete (2nd attempt),Unq Users Level complete (3+ attempt),Unq Users level step,Avg Stacks Placed to Fail,Avg goal complete % - Lvl Fail,# Rv Slot Unlock,# powerup used,unq users used rv slot,Coin Sink,# Level Pre Fail Events,Payers,Total Customer,Median Coin Balance,Coin Balance Below 20,Booster Balance 0,Total Level Revenue,Total Level RV Revenue,Total Level Ad Revenue,IAP Revenue,Funnel %,Level Churn %,Level Fail %,Fail / User,Absolute Level Fail % (Unique),Retry Ratio,Lvl complete % (1st Attempt),Lvl complete % (2nd Attempt),Lvl complete % (3+ Attempt),Unique Level Fail %,Avg Play on used,Avg Powerup Used,Rv Slot % (unique),Level Pre Fail %,Total Revenue / User,Total RV Revenue / User,Total Ad Revenue / User,IAP Revenue / User,ARPPU
231,"122,620","111,657","119,977","109,270","43,187","254,920","116,776","120,866","918,553",87.7,"73,593","19,999","26,573","107,209",42.7,50.7,"50,761","164,981","29,850","1,098,720","149,726",157,"8,013",71,"21,897","55,580","$5,618.61","$1,850.82","$3,786.15","$1,084.38",14.0%,2.1%,45.8%,1.0,87.4%,2.1,60.0%,16.3%,21.7%,35.2%,7.49,0.65,24.3%,58.7%,$0.05,$0.02,$0.03,$0.01,$0.70
232,"127,248","116,521","122,874","112,497","56,349","406,095","244,774","124,766","1,670,980",97.7,"64,441","18,610","40,196","114,847",68.5,41.4,"63,908","306,459","35,102","1,720,870","316,309",357,"8,592",62,"26,489","60,303","$7,293.35","$2,252.31","$5,282.25","$2,962.60",14.3%,3.5%,60.3%,1.9,90.3%,3.3,50.6%,14.6%,31.6%,44.3%,13.13,0.75,27.6%,77.9%,$0.06,$0.02,$0.04,$0.02,$0.85
233,"134,589","124,514","130,737","120,673","45,668","337,467","176,172","136,789","1,080,820",75.4,"83,750","20,963","28,033","118,351",33.7,55.0,"55,549","169,283","25,494","1,096,255","209,080",176,"8,019",61,"26,460","64,618","$6,924.36","$1,971.65","$4,462.94","$1,360.06",15.2%,3.1%,52.2%,1.3,87.9%,2.6,62.2%,15.6%,20.8%,33.9%,8.03,0.50,18.9%,62.0%,$0.05,$0.01,$0.03,$0.01,$0.86
234,"140,369","128,967","135,988","124,780","67,530","407,696","231,693","143,196","1,501,213",78.3,"66,728","23,911","47,649","128,690",41.0,33.8,"85,176","266,276","43,109","1,560,160","284,072",211,"8,678",62,"26,527","66,197","$6,480.27","$1,912.62","$4,780.65","$1,708.56",15.8%,3.2%,56.8%,1.7,91.7%,3.0,47.5%,17.0%,33.9%,48.1%,10.69,0.65,30.7%,69.7%,$0.05,$0.01,$0.03,$0.01,$0.75
235,"120,661","109,977","117,356","106,925","48,873","320,983","178,174","118,159","1,219,759",86.7,"65,851","18,078","33,605","107,530",42.6,47.4,"76,906","244,809","37,774","1,435,850","222,480",261,"7,867",61,"23,130","55,336","$6,246.22","$2,099.75","$4,488.77","$2,052.08",13.7%,2.8%,55.5%,1.5,89.1%,2.7,54.6%,15.0%,27.9%,40.5%,10.11,0.76,31.3%,69.3%,$0.05,$0.02,$0.04,$0.02,$0.79
236,"142,037","130,852","134,559","123,608","77,905","644,196","444,728","141,774","2,410,247",89.1,"58,278","18,936","59,703","134,385",45.5,57.5,"132,532","439,971","51,352","2,441,550","535,574",488,"8,801",49,"34,415","70,683","$10,557.88","$3,424.22","$7,821.09","$3,955.37",15.7%,5.5%,69.0%,3.1,94.6%,4.8,41.0%,13.3%,42.0%,54.8%,16.97,0.68,36.2%,83.1%,$0.07,$0.02,$0.06,$0.03,$1.20
237,"134,852","124,934","130,083","120,141","39,106","362,630","194,247","136,107","1,317,525",86.9,"90,909","15,234","26,241","116,944",50.7,37.3,"87,428","223,513","39,804","1,034,070","234,461",177,"8,145",53,"30,953","67,587","$9,568.57","$3,313.86","$6,130.11","$1,257.03",15.2%,3.8%,53.6%,1.4,86.7%,2.8,67.4%,11.3%,19.5%,29.0%,9.77,0.62,29.5%,64.7%,$0.07,$0.02,$0.05,$0.01,$1.17
238,"140,022","128,769","134,716","123,744","70,002","450,555","270,601","141,982","1,641,355",90.4,"63,463","22,912","50,494","130,099",45.5,41.0,"67,948","263,877","38,398","1,706,720","336,474",295,"8,678",53,"29,411","68,383","$6,930.41","$2,220.60","$5,384.74","$2,400.61",15.7%,3.9%,60.1%,1.9,92.9%,3.3,45.3%,16.4%,36.1%,50.0%,11.72,0.59,27.4%,74.7%,$0.05,$0.02,$0.04,$0.02,$0.80
239,"137,161","125,888","133,861","122,743","52,842","326,007","161,410","140,996","1,150,564",67.2,"78,285","22,838","34,248","120,813",41.2,49.4,"81,022","237,670","40,437","1,349,805","205,807",231,"8,523",54,"28,451","67,417","$6,976.29","$2,176.29","$4,444.71","$1,784.52",15.6%,2.5%,49.5%,1.2,88.1%,2.4,57.1%,16.7%,25.0%,38.5%,8.39,0.73,29.5%,63.1%,$0.05,$0.02,$0.03,$0.01,$0.82
240,"141,012","129,826","134,330","123,358","65,849","507,053","314,191","141,731","2,028,989",115.8,"68,065","20,679","47,851","131,940",56.9,60.7,"132,001","379,876","55,576","2,014,465","384,328",358,"8,838",48,"32,895","71,223","$9,135.24","$3,007.07","$6,779.54","$2,861.89",15.7%,5.0%,62.0%,2.2,93.6%,3.8,48.3%,14.7%,33.9%,46.7%,14.39,0.75,39.4%,75.8%,$0.06,$0.02,$0.05,$0.02,$1.03
241,"118,505","107,968","116,435","106,013","35,923","226,082","95,377","117,296","730,017",43.0,"77,830","15,753","23,009","96,957",33.4,30.7,"57,249","144,449","31,137","746,345","119,037",141,"7,780",55,"24,186","57,855","$6,376.88","$2,236.74","$4,072.20","$1,114.46",13.6%,1.8%,42.2%,0.8,81.8%,1.9,65.7%,13.3%,19.4%,30.3%,6.16,0.64,26.3%,52.7%,$0.05,$0.02,$0.03,$0.01,$0.82
242,"132,303","120,979","127,207","116,305","56,778","518,205","338,041","133,374","1,954,755",78.4,"69,679","17,807","40,792","118,558",53.8,55.3,"150,084","327,488","53,663","1,447,015","402,520",269,"8,013",54,"27,377","65,811","$7,373.08","$2,365.85","$5,673.51","$1,964.01",14.8%,3.9%,65.2%,2.6,89.6%,4.1,52.7%,13.5%,30.8%,42.9%,14.77,0.63,40.6%,77.7%,$0.06,$0.02,$0.04,$0.01,$0.92
243,"133,899","124,141","127,817","117,927","34,295","431,962","256,217","133,962","1,498,294",53.8,"95,899","7,313","26,700","108,009",60.3,53.6,"73,093","222,981","24,252","983,905","304,330",189,"8,119",54,"30,284","67,152","$8,766.89","$3,426.32","$6,942.81","$1,592.70",14.9%,5.0%,59.3%,1.9,80.7%,3.4,71.6%,5.5%,19.9%,25.6%,11.19,0.52,18.1%,70.5%,$0.07,$0.03,$0.05,$0.01,$1.08
244,"133,196","123,139","128,893","118,901","31,407","336,383","171,627","134,990","1,154,194",89.6,"97,943","8,951","24,057","112,171",48.2,51.6,"53,277","163,988","21,452","879,650","204,659",146,"8,169",59,"23,791","62,789","$5,609.35","$1,867.73","$4,375.28",$993.34,15.0%,3.4%,51.0%,1.3,84.2%,2.6,73.5%,6.7%,18.1%,23.6%,8.67,0.49,16.1%,60.8%,$0.04,$0.01,$0.03,$0.01,$0.69
245,"136,853","125,591","132,922","121,922","56,044","379,856","212,044","140,044","1,312,228",86.7,"74,738","20,350","39,123","121,378",33.3,21.6,"73,085","242,952","39,324","1,668,660","252,827",210,"8,614",59,"21,563","62,200","$5,557.25","$1,540.30","$4,184.23","$1,713.74",15.5%,2.9%,55.8%,1.5,88.7%,2.9,54.6%,14.9%,28.6%,41.0%,9.59,0.64,28.7%,66.6%,$0.04,$0.01,$0.03,$0.01,$0.65
246,"136,628","125,421","132,579","121,552","56,280","349,175","179,527","139,698","1,346,947",88.1,"73,735","23,074","37,827","123,847",52.9,47.0,"97,722","285,693","47,594","1,663,025","220,923",249,"8,605",55,"27,137","65,703","$6,603.48","$2,220.87","$4,826.75","$1,947.34",15.5%,3.1%,51.4%,1.3,90.6%,2.6,54.0%,16.9%,27.7%,41.2%,9.86,0.82,34.8%,63.3%,$0.05,$0.02,$0.04,$0.01,$0.77
247,"130,731","120,755","127,552","117,578","33,027","279,940","124,209","133,580","919,775",60.3,"93,190","16,554","19,790","108,518",57.4,50.2,"28,620","127,912","18,665","762,085","151,503",116,"8,050",61,"24,685","62,261","$5,996.43","$2,042.90","$4,188.01",$723.76,14.9%,2.6%,44.4%,1.0,83.0%,2.2,71.3%,12.7%,15.1%,25.3%,7.04,0.46,14.3%,54.1%,$0.05,$0.02,$0.03,$0.01,$0.74
248,"135,552","124,283","131,853","120,916","48,648","300,405","137,519","139,078","1,324,700",143.5,"80,018","23,480","30,052","121,842",64.9,53.9,"88,156","291,140","40,274","1,705,660","179,769",229,"8,716",58,"24,218","63,678","$5,064.72","$1,589.01","$3,786.59","$1,727.37",15.4%,2.7%,45.8%,1.0,89.9%,2.3,59.0%,17.3%,22.2%,35.9%,9.77,0.97,29.7%,59.8%,$0.04,$0.01,$0.03,$0.01,$0.58
249,"138,243","127,036","131,486","120,489","65,774","528,476","335,134","138,659","2,154,390",113.5,"65,278","19,585","48,852","129,388",62.1,60.1,"153,804","432,405","61,701","2,324,695","410,882",464,"8,749",50,"31,709","68,766","$9,825.81","$3,464.27","$7,450.45","$3,282.79",15.3%,5.2%,63.4%,2.4,93.6%,4.0,47.2%,14.2%,35.3%,47.6%,15.58,0.82,44.6%,77.7%,$0.07,$0.03,$0.05,$0.02,$1.12
250,"128,720","118,849","126,199","116,393","33,689","240,695","92,205","132,250","750,442",65.8,"90,180","17,702","20,194","109,387",37.9,47.4,"40,613","110,249","22,045","715,610","111,280",87,"7,956",56,"26,301","64,040","$7,144.47","$2,333.63","$4,249.84",$601.05,14.7%,2.1%,38.3%,0.7,85.0%,1.9,70.1%,13.8%,15.7%,26.2%,5.83,0.46,17.1%,46.2%,$0.06,$0.02,$0.03,$0.00,$0.90
251,"133,987","122,902","131,890","120,919","30,400","209,168","57,162","139,148","726,969",86.4,"97,760","20,272","15,187","113,293",59.7,69.5,"53,679","135,577","32,597","834,290","74,659",95,"8,552",61,"21,995","63,127","$3,634.08","$1,129.14","$2,735.20",$846.02,15.4%,1.6%,27.3%,0.4,84.6%,1.6,73.0%,15.1%,11.3%,22.7%,5.43,0.65,24.3%,35.7%,$0.03,$0.01,$0.02,$0.01,$0.42
252,"136,455","125,216","130,253","119,461","65,539","487,304","301,833","137,466","2,065,702",118.2,"64,532","20,291","47,789","126,995",73.4,66.9,"111,414","416,460","51,853","2,395,295","380,544",464,"8,669",50,"29,032","67,052","$8,089.71","$2,740.74","$6,252.37","$3,835.82",15.2%,4.6%,61.9%,2.2,93.1%,3.7,47.3%,14.9%,35.0%,48.0%,15.14,0.85,38.0%,78.1%,$0.06,$0.02,$0.05,$0.03,$0.93
253,"135,389","124,516","131,075","120,287","47,856","362,118","194,287","138,449","1,175,369",98.2,"81,929","19,575","31,855","120,076",33.5,22.7,"31,718","173,189","20,563","1,188,660","231,097",178,"8,625",54,"29,063","68,100","$8,268.79","$2,356.03","$5,022.29","$1,234.09",15.3%,3.4%,53.7%,1.4,88.7%,2.8,60.5%,14.5%,23.5%,35.3%,8.68,0.48,15.2%,63.8%,$0.06,$0.02,$0.04,$0.01,$0.96
254,"136,745","125,812","131,045","120,305","53,251","410,998","233,629","138,299","1,575,749",142.3,"76,384","20,529","36,356","125,557",56.6,56.8,"76,396","288,416","43,085","1,779,060","283,956",274,"8,808",52,"28,622","67,264","$6,178.18","$1,929.49","$4,988.17","$2,119.80",15.3%,4.4%,56.8%,1.7,91.8%,3.1,55.9%,15.0%,26.6%,38.9%,11.52,0.70,31.5%,69.1%,$0.05,$0.01,$0.04,$0.02,$0.70
255,"133,665","122,747","130,575","119,762","50,721","282,824","125,018","137,844","933,615",70.6,"76,765","23,704","32,068","119,078",32.6,32.8,"66,127","168,639","39,115","1,078,920","152,783",139,"8,542",58,"24,879","63,978","$6,183.95","$1,924.80","$4,122.79",$992.55,15.2%,2.4%,44.2%,0.9,89.1%,2.2,57.4%,17.7%,24.0%,37.9%,6.98,0.60,29.3%,54.0%,$0.05,$0.01,$0.03,$0.01,$0.72
256,"133,993","123,087","128,784","118,251","64,445","460,342","285,867","136,051","1,790,462",81.9,"64,126","20,505","46,162","123,128",42.7,37.6,"165,784","381,934","55,520","1,814,845","346,505",319,"8,596",53,"27,973","65,394","$7,510.07","$2,823.28","$5,820.53","$2,686.49",15.0%,3.9%,62.1%,2.1,91.9%,3.6,47.9%,15.3%,34.5%,48.1%,13.36,0.83,41.4%,75.3%,$0.06,$0.02,$0.04,$0.02,$0.87
257,"131,496","120,832","129,138","118,490","37,575","229,324","78,916","136,323","824,279",71.9,"89,110","21,847","20,031","113,086",43.8,48.2,"62,756","161,820","30,534","908,610","99,632",121,"8,478",58,"24,791","63,041","$6,592.76","$2,504.69","$4,334.65",$974.68,15.0%,1.9%,34.4%,0.6,86.0%,1.8,67.8%,16.6%,15.2%,28.6%,6.27,0.71,23.2%,43.4%,$0.05,$0.02,$0.03,$0.01,$0.78
258,"131,700","120,928","129,269","118,582","34,543","234,030","80,516","136,628","802,625",90.9,"92,047","20,230","18,966","112,804",51.7,55.3,"44,504","142,887","31,617","902,745","99,974",105,"8,480",62,"21,859","60,798","$4,263.81","$1,375.33","$3,228.15",$712.82,15.1%,1.9%,34.4%,0.6,85.7%,1.8,69.9%,15.4%,14.4%,26.2%,6.09,0.61,24.0%,42.7%,$0.03,$0.01,$0.02,$0.01,$0.50
259,"134,511","123,690","125,856","115,710","69,808","906,098","690,590","133,271","3,714,300",120.9,"59,367","17,741","50,831","124,329",58.5,34.5,"243,846","710,128","54,672","3,085,855","844,533","1,006","8,686",46,"34,302","68,509","$14,845.68","$5,140.52","$10,820.50","$8,399.54",14.7%,6.5%,76.2%,5.1,92.4%,7.2,44.1%,13.2%,37.8%,51.9%,27.61,0.78,40.6%,93.2%,$0.11,$0.04,$0.08,$0.06,$1.71
260,"130,802","120,469","125,508","115,351","66,605","459,245","283,639","132,801","1,674,379",73.4,"57,967","20,033","49,666","121,613",44.6,47.1,"74,567","280,414","37,401","1,712,930","352,401",301,"8,411",46,"32,443","68,997","$13,162.08","$3,384.30","$6,630.79","$2,368.57",14.6%,4.2%,61.8%,2.2,93.0%,3.7,44.3%,15.3%,38.0%,50.9%,12.80,0.61,28.6%,76.7%,$0.10,$0.03,$0.05,$0.02,$1.56
261,"109,193","99,632","107,953","98,477","19,562","145,564","31,016","108,788","435,798",56.2,"85,755","14,330","7,964","87,739",37.1,42.3,"24,340","73,667","17,576","469,675","41,695",57,"7,483",53,"21,136","53,992","$4,258.90","$1,382.50","$2,609.09",$390.40,12.6%,1.2%,21.3%,0.3,80.4%,1.3,78.5%,13.1%,7.3%,17.9%,3.99,0.51,16.1%,28.6%,$0.04,$0.01,$0.02,$0.00,$0.57
262,"131,358","121,126","125,330","115,203","71,374","540,089","361,793","132,609","1,957,634",96.5,"54,815","17,993","55,001","124,180",39.7,48.3,"90,197","362,134","45,456","2,189,890","437,850",440,"8,416",46,"29,305","67,001","$7,064.81","$2,187.52","$5,597.89","$3,576.20",14.6%,4.9%,67.0%,2.8,94.5%,4.3,41.7%,13.7%,41.9%,54.3%,14.90,0.67,34.6%,81.1%,$0.05,$0.02,$0.04,$0.03,$0.84
263,"121,662","112,740","119,817","110,916","29,113","195,846","59,391","125,764","613,215",57.4,"88,564","17,877","15,227","101,375",35.4,43.4,"53,093","115,286","26,400","653,520","74,174",71,"7,569",52,"24,552","62,079","$6,045.78","$1,842.41","$3,404.43",$571.25,14.0%,1.6%,30.3%,0.5,83.3%,1.6,72.8%,14.7%,12.5%,23.9%,5.04,0.59,21.7%,37.9%,$0.05,$0.02,$0.03,$0.00,$0.80
264,"131,051","120,769","124,947","114,879","68,241","492,711","316,784","132,195","1,848,262",112.9,"57,058","20,242","49,770","123,663",37.8,29.8,"138,296","364,916","60,564","1,882,010","382,567",378,"8,480",47,"29,080","67,014","$6,936.22","$2,648.36","$5,625.15","$3,058.77",14.6%,4.9%,64.3%,2.4,94.4%,3.9,43.5%,15.4%,38.0%,52.1%,14.10,0.74,46.2%,77.6%,$0.05,$0.02,$0.04,$0.02,$0.82
265,"127,857","117,612","124,523","114,511","48,699","321,072","165,332","131,740","1,209,642",83.4,"73,373","19,983","32,736","113,701",48.8,39.3,"90,397","261,419","42,602","1,422,890","209,038",286,"8,292",49,"28,287","65,568","$8,098.79","$2,880.71","$5,254.69","$2,124.86",14.5%,2.6%,51.5%,1.3,88.9%,2.6,57.4%,15.6%,25.6%,38.1%,9.46,0.81,33.3%,65.1%,$0.06,$0.02,$0.04,$0.02,$0.98
266,"130,701","120,463","124,009","114,038","67,929","551,685","368,689","131,430","2,167,731",121.3,"56,920","17,923","51,543","124,170",41.7,41.3,"160,249","433,576","58,812","2,118,380","440,935",409,"8,603",44,"32,398","68,964","$9,255.67","$3,245.39","$6,796.68","$2,978.38",14.5%,5.3%,66.8%,2.8,95.0%,4.4,43.5%,13.7%,39.4%,52.0%,16.59,0.79,45.0%,79.9%,$0.07,$0.02,$0.05,$0.02,$1.08
267,"126,356","116,299","124,097","114,115","31,469","210,729","65,259","131,507","740,184",96.4,"89,448","19,601","16,849","108,667",52.5,53.2,"47,898","135,627","28,720","851,660","85,730",109,"8,219",50,"27,183","65,343","$6,848.73","$2,588.61","$4,402.20",$748.81,14.5%,1.9%,31.0%,0.5,86.0%,1.7,70.8%,15.5%,13.3%,24.9%,5.86,0.64,22.7%,40.7%,$0.05,$0.02,$0.03,$0.01,$0.83
268,"127,143","116,925","123,962","113,832","42,579","258,358","107,836","131,127","977,034",92.3,"78,947","21,611","25,636","112,717",49.2,41.1,"61,865","179,014","36,028","1,022,570","137,133",137,"8,289",53,"23,973","63,478","$4,345.49","$1,534.16","$3,471.83","$1,341.48",14.4%,2.6%,41.7%,0.8,88.7%,2.1,62.1%,17.0%,20.2%,33.5%,7.68,0.69,28.3%,53.1%,$0.03,$0.01,$0.03,$0.01,$0.52
269,"127,039","116,895","123,112","113,232","46,954","296,996","138,535","130,496","1,320,780",154.9,"73,371","21,170","30,472","115,250",83.6,68.2,"77,312","277,726","38,998","1,688,490","182,127",250,"8,375",51,"24,019","62,677","$5,890.64","$1,999.03","$4,417.48","$1,703.20",14.3%,3.1%,46.6%,1.1,90.7%,2.4,57.8%,16.7%,24.0%,37.0%,10.40,0.94,30.7%,61.3%,$0.05,$0.02,$0.03,$0.01,$0.70
270,"128,172","118,079","123,615","113,558","56,742","385,863","220,968","130,923","1,452,182",106.0,"65,492","20,039","40,437","118,638",39.7,36.4,"108,317","290,463","53,061","1,498,295","267,321",248,"8,455",51,"27,481","65,231","$7,718.99","$2,644.98","$5,463.50","$2,165.12",14.4%,3.8%,57.3%,1.7,92.6%,3.1,51.1%,15.6%,31.5%,44.3%,11.33,0.75,41.4%,69.3%,$0.06,$0.02,$0.04,$0.02,$0.91
271,"107,571","98,074","105,762","96,390","26,401","183,151","66,273","106,614","631,806",72.9,"77,095","12,765","16,037","87,926",46.5,45.9,"41,226","135,663","24,461","881,520","86,281",147,"7,492",54,"20,485","52,527","$5,292.73","$1,868.18","$3,410.04","$1,064.42",12.3%,1.7%,36.2%,0.6,81.7%,1.7,71.7%,11.9%,14.9%,24.5%,5.87,0.74,22.7%,47.1%,$0.05,$0.02,$0.03,$0.01,$0.71
272,"107,819","98,340","104,065","94,870","44,366","338,279","206,650","104,905","1,283,576",81.2,"59,034","12,990","32,252","94,865",32.2,56.1,"92,057","267,497","29,145","1,335,255","263,374",384,"7,567",54,"21,833","53,432","$5,958.02","$2,105.85","$4,204.71","$3,263.73",12.1%,3.5%,61.1%,1.9,88.0%,3.3,54.8%,12.0%,29.9%,41.1%,11.90,0.79,27.0%,77.9%,$0.06,$0.02,$0.04,$0.03,$0.79
273,"123,568","114,707","117,493","108,487","33,073","482,444","311,604","123,504","1,695,908",86.4,"86,696","6,677","26,033","104,169",58.9,41.4,"86,232","246,282","26,630","1,248,295","361,595",250,"7,874",50,"27,411","62,930","$10,876.88","$3,286.40","$7,854.98","$1,895.94",13.7%,5.4%,64.6%,2.5,84.3%,4.1,70.2%,5.4%,21.1%,26.8%,13.72,0.51,21.6%,75.0%,$0.09,$0.03,$0.06,$0.02,$1.38
274,"119,534","110,536","117,528","108,572","31,501","196,636","61,102","123,566","612,087",71.5,"83,401","19,842","16,000","101,031",45.5,45.0,"27,725","97,025","18,843","722,625","78,155",79,"7,527",57,"19,905","58,043","$4,268.38","$1,264.19","$2,870.55",$652.00,13.7%,1.8%,31.1%,0.5,84.5%,1.7,69.8%,16.6%,13.4%,26.4%,5.12,0.49,15.8%,39.7%,$0.04,$0.01,$0.02,$0.01,$0.57
275,"112,776","103,140","109,711","100,237","41,123","276,446","143,172","111,592","1,085,716",99.9,"65,842","16,549","27,598","100,714",63.5,61.8,"54,733","222,460","26,981","1,512,635","185,816",242,"8,086",54,"19,296","53,080","$4,602.23","$1,370.54","$3,509.85","$1,542.31",12.8%,2.8%,51.8%,1.3,89.3%,2.5,58.4%,14.7%,24.5%,36.5%,9.63,0.80,23.9%,67.2%,$0.04,$0.01,$0.03,$0.01,$0.57
276,"124,466","114,186","121,866","111,724","43,447","265,244","117,384","129,053","939,156",80.0,"75,343","20,278","27,662","109,412",37.0,30.0,"72,303","191,808","41,637","1,132,725","144,118",157,"8,038",56,"22,948","61,208","$5,341.95","$1,725.90","$3,616.75","$1,318.28",14.2%,2.2%,44.3%,0.9,87.9%,2.2,60.5%,16.3%,22.2%,34.9%,7.55,0.72,33.5%,54.3%,$0.04,$0.01,$0.03,$0.01,$0.66
277,"125,403","115,185","122,361","112,167","38,567","265,204","114,604","129,709","888,490",73.1,"81,610","19,079","23,554","108,747",56.0,58.2,"45,326","158,070","26,546","1,058,240","141,359",147,"8,210",57,"22,885","60,183","$5,255.09","$1,734.05","$3,836.03","$1,045.38",14.3%,2.6%,43.2%,0.9,86.7%,2.2,65.1%,15.2%,18.8%,30.8%,7.09,0.60,21.2%,53.3%,$0.04,$0.01,$0.03,$0.01,$0.64
278,"125,501","115,112","121,074","111,002","58,580","439,229","275,470","128,417","1,616,198",83.8,"62,022","19,589","41,540","114,003",44.6,29.4,"69,230","287,594","38,148","1,649,450","347,507",333,"8,176",54,"26,520","62,427","$6,856.51","$2,178.19","$5,017.37","$2,593.13",14.1%,3.6%,62.7%,2.2,90.8%,3.6,49.4%,15.6%,33.1%,46.7%,12.88,0.65,30.4%,79.1%,$0.05,$0.02,$0.04,$0.02,$0.84
279,"110,989","101,534","106,589","97,434","49,482","416,750","272,643","108,538","1,660,104",72.8,"56,399","14,398","36,183","99,769",46.7,61.6,"119,830","366,688","38,250","1,574,715","348,795",418,"7,928",50,"27,086","57,005","$8,890.79","$3,143.23","$5,867.37","$3,265.94",12.4%,4.0%,65.4%,2.5,89.9%,3.9,50.8%,13.0%,32.6%,44.6%,14.96,0.88,34.5%,83.7%,$0.08,$0.03,$0.05,$0.03,$1.12
280,"121,610","111,604","119,487","109,628","40,442","229,531","87,306","126,933","842,542",89.4,"76,071","21,643","23,592","106,795",41.1,32.8,"58,797","178,929","32,283","1,092,790","110,151",139,"7,889",53,"24,766","61,528","$6,052.07","$1,875.67","$3,449.75","$1,180.53",13.9%,1.8%,38.0%,0.7,87.8%,1.9,62.6%,17.8%,19.4%,33.3%,6.93,0.78,26.5%,48.0%,$0.05,$0.02,$0.03,$0.01,$0.77
281,"103,701","94,410","100,849","91,868","41,532","279,588","155,490","101,666","1,076,810",108.8,"57,335","15,702","28,018","91,488",47.6,26.9,"38,447","189,919","17,197","1,108,680","200,085",238,"7,120",54,"20,106","51,444","$5,329.42","$1,605.76","$3,650.66","$1,975.21",11.8%,2.7%,55.6%,1.5,88.2%,2.8,55.3%,15.1%,27.0%,40.0%,10.38,0.68,16.6%,71.6%,$0.05,$0.02,$0.04,$0.02,$0.75
282,"107,692","98,644","104,829","96,061","40,686","285,542","155,848","106,742","1,094,327",105.4,"61,607","15,304","28,222","96,849",44.4,36.3,"66,724","216,069","32,241","1,241,420","193,349",214,"7,709",55,"20,009","52,494","$5,626.77","$1,540.19","$3,619.50","$1,845.67",12.2%,2.6%,54.6%,1.4,89.9%,2.7,57.2%,14.2%,26.2%,37.8%,10.16,0.76,29.9%,67.7%,$0.05,$0.01,$0.03,$0.02,$0.73
283,"120,263","110,701","118,016","108,511","39,680","254,444","113,049","125,280","793,490",58.1,"76,612","20,024","23,488","104,247",28.8,21.2,"62,777","156,051","32,244","950,235","133,382",119,"7,822",56,"22,468","59,426","$5,514.75","$1,696.26","$3,466.96","$1,192.66",13.8%,2.0%,44.4%,0.9,86.7%,2.2,63.7%,16.7%,19.5%,33.0%,6.60,0.61,26.8%,52.4%,$0.05,$0.01,$0.03,$0.01,$0.71
284,"123,165","113,503","117,529","108,071","62,456","458,282","289,224","124,845","1,894,135",98.1,"54,872","18,335","46,649","115,007",66.4,68.7,"105,850","384,718","44,344","1,979,215","365,898",382,"8,014",49,"27,964","62,548","$7,317.39","$2,663.00","$5,843.72","$2,951.57",13.7%,4.8%,63.1%,2.3,93.4%,3.9,44.6%,14.9%,37.9%,50.7%,15.38,0.84,36.0%,79.8%,$0.06,$0.02,$0.05,$0.02,$0.91
285,"101,959","93,024","99,782","90,968","32,872","210,920","95,396","100,632","795,703",92.9,"64,058","15,062","20,857","89,079",55.9,56.9,"53,752","159,706","30,034","854,025","123,281",156,"7,105",52,"21,838","50,934","$6,224.94","$1,946.88","$3,565.71","$1,452.33",11.6%,2.2%,45.2%,0.9,87.4%,2.1,62.8%,14.8%,20.5%,32.2%,7.80,0.76,29.5%,58.4%,$0.06,$0.02,$0.03,$0.01,$0.88
286,"106,859","98,003","102,862","94,334","44,708","389,559","248,830","104,837","1,653,841",94.3,"56,864","14,192","32,124","96,633",60.3,38.2,"116,676","342,465","42,680","1,675,990","310,445",455,"7,618",48,"24,760","54,269","$7,642.94","$2,603.72","$5,465.14","$3,627.62",12.0%,3.7%,63.9%,2.3,90.4%,3.8,53.2%,13.3%,30.1%,41.8%,15.48,0.88,39.9%,79.7%,$0.07,$0.02,$0.05,$0.03,$1.00
287,"120,221","110,906","115,667","106,398","58,399","390,224","230,871","123,054","1,522,254",108.2,"56,554","19,494","42,062","112,214",51.2,50.8,"69,087","265,152","29,845","1,526,825","291,038",266,"7,866",46,"28,822","63,795","$8,960.79","$2,671.55","$5,371.84","$1,958.05",13.5%,4.1%,59.2%,1.9,93.3%,3.4,47.0%,16.2%,35.0%,48.6%,12.66,0.68,24.8%,74.6%,$0.07,$0.02,$0.04,$0.02,$1.14
288,"118,768","109,275","115,709","106,358","47,356","296,334","149,024","123,196","1,083,868",86.9,"66,160","19,326","32,365","106,752",50.8,54.3,"49,774","205,435","30,889","1,336,155","189,889",227,"7,695",48,"26,141","61,992","$6,079.19","$1,779.72","$4,035.01","$1,862.55",13.5%,2.7%,50.3%,1.3,89.9%,2.6,55.7%,16.3%,27.3%,39.9%,9.13,0.69,26.0%,64.1%,$0.05,$0.01,$0.03,$0.02,$0.79
