Event Data Level Sequence In Catalog,Unq Users level start,Event Data Unq Users Level Started (Before X Days),Unq Users level complete,Event Data Unq Users Level Completed (Before X Days),Unq Users level fail,Event Data # Level Start Events,Event Data # Level Fail Events,Event Data # Level Complete Events,# Level Steps,Avg Stacks Placed to Complete,Unq Users Level complete (1st attempt),Unq Users Level complete (2nd attempt),Unq Users Level complete (3+ attempt),Unq Users level step,Avg Stacks Placed to Fail,Avg goal complete % - Lvl Fail,# Rv Slot Unlock,# powerup used,unq users used rv slot,Coin Sink,# Level Pre Fail Events,Payers,Total Customer,Median Coin Balance,Coin Balance Below 20,Booster Balance 0,Total Level Revenue,Total Level RV Revenue,Total Level Ad Revenue,IAP Revenue,Funnel %,Level Churn %,Level Fail %,Fail / User,Absolute Level Fail % (Unique),Retry Ratio,Lvl complete % (1st Attempt),Lvl complete % (2nd Attempt),Lvl complete % (3+ Attempt),Unique Level Fail %,Avg Play on used,Avg Powerup Used,Rv Slot % (unique),Level Pre Fail %,Total Revenue / User,Total RV Revenue / User,Total Ad Revenue / User,IAP Revenue / User,ARPPU
12,"599,478","560,375","548,709","511,788","92,027","991,021","387,754","555,851","2,599,440",54.7,"488,820","23,894","38,115","485,892",37.4,37.5,"58,845","173,311","22,766","1,089,715","415,544",115,"10,044",139,"36,955","92,664","$24,083.24","$4,262.08","$23,428.14",$871.67,63.9%,8.7%,39.1%,0.6,81.1%,1.8,81.5%,4.0%,6.4%,15.4%,4.34,0.17,3.8%,41.9%,$0.04,$0.01,$0.04,$0.00,$2.40
13,"558,679","520,607","513,548","477,742","292,489","1,420,376","833,060","515,555","4,884,018",93.6,"240,295","106,613","167,169","513,843",64.1,72.7,"240,564","579,240","116,168","4,939,405","895,427",385,"10,026",125,"46,313","98,209","$34,282.12","$7,308.78","$32,714.71","$2,634.75",59.8%,8.2%,58.7%,1.5,92.0%,2.8,43.0%,19.1%,29.9%,52.4%,8.74,0.41,20.8%,63.0%,$0.06,$0.01,$0.06,$0.00,$3.42
14,"528,237","493,026","490,651","457,117","258,443","1,313,747","733,091","491,802","4,386,816",78.7,"242,079","96,511","152,444","480,984",42.8,42.9,"265,402","555,211","132,727","3,908,570","776,533",398,"9,483",120,"61,732","125,274","$36,159.73","$10,617.19","$33,211.09","$2,618.82",57.2%,7.3%,55.8%,1.4,91.1%,2.7,45.8%,18.3%,28.9%,48.9%,8.30,0.42,25.1%,59.1%,$0.07,$0.02,$0.06,$0.00,$3.81
15,"545,417","508,833","497,874","463,219","307,847","1,623,684","1,017,134","506,140","5,619,922",99.1,"211,565","98,162","189,836","508,885",49.0,35.6,"310,180","627,551","137,805","4,271,985","1,079,160",704,"11,062",104,"78,386","167,092","$43,396.65","$14,620.63","$39,930.44","$5,172.13",58.0%,9.0%,62.6%,1.9,93.3%,3.3,38.8%,18.0%,34.8%,56.4%,10.30,0.39,25.3%,66.5%,$0.08,$0.03,$0.07,$0.01,$3.92
16,"522,140","486,565","487,062","452,952","245,312","1,255,915","677,968","495,402","4,186,752",84.7,"250,489","96,794","141,802","474,011",45.8,45.7,"228,451","443,227","111,659","2,778,275","722,390",392,"11,041",101,"70,007","170,466","$34,639.38","$10,205.33","$30,236.71","$2,694.77",56.8%,6.9%,54.0%,1.3,90.8%,2.6,48.0%,18.5%,27.2%,47.0%,8.02,0.35,21.4%,57.5%,$0.07,$0.02,$0.06,$0.01,$3.14
17,"509,687","475,557","437,293","406,166","365,913","2,819,183","2,184,982","438,997","9,550,852",79.4,"121,232","65,016","251,556","485,196",38.8,38.9,"492,276","975,022","141,698","4,622,470","2,309,271","1,340","10,688",95,"100,176","184,561","$62,016.86","$17,686.45","$55,375.21","$9,039.19",51.0%,14.6%,77.5%,4.3,95.2%,6.4,23.8%,12.8%,49.4%,71.8%,18.74,0.35,27.8%,81.9%,$0.12,$0.03,$0.11,$0.02,$5.80
18,"441,768","411,465","429,686","399,862","108,398","640,966","181,772","430,590","1,864,322",80.5,"313,494","71,651","44,786","368,021",51.7,51.4,"94,193","166,976","48,343","1,134,285","193,736",130,"9,763",100,"64,069","152,519","$20,416.19","$5,269.80","$16,116.36",$863.69,50.1%,2.8%,28.4%,0.4,83.3%,1.5,71.0%,16.2%,10.1%,24.5%,4.22,0.26,10.9%,30.2%,$0.05,$0.01,$0.04,$0.00,$2.09
19,"451,161","420,225","439,711","409,352","102,645","652,160","178,730","445,903","1,930,894",90.6,"331,469","68,070","41,279","378,705",52.4,37.2,"22,473","87,398","12,268","1,023,310","190,743",113,"9,960",103,"52,449","151,512","$14,481.50","$3,299.43","$13,661.74",$728.75,51.2%,2.6%,27.4%,0.4,83.9%,1.5,73.5%,15.1%,9.1%,22.8%,4.28,0.13,2.7%,29.2%,$0.03,$0.01,$0.03,$0.00,$1.45
20,"469,378","437,157","420,400","390,044","285,134","1,634,922","1,098,614","422,042","5,907,311",76.3,"158,154","81,211","181,455","443,813",49.1,48.8,"284,505","581,892","109,490","2,664,405","1,169,133",644,"10,849",104,"69,638","158,737","$32,947.71","$8,426.55","$30,723.80","$4,307.83",49.0%,10.8%,67.2%,2.3,94.6%,3.9,33.7%,17.3%,38.7%,60.7%,12.59,0.36,23.3%,71.5%,$0.07,$0.02,$0.07,$0.01,$3.04
21,"469,182","437,836","384,147","356,569","355,608","3,346,852","2,669,954","385,676","12,030,218",95.9,"89,976","50,291","244,345","453,942",44.6,36.7,"731,565","1,322,956","177,553","4,414,045","2,846,897","1,658","11,219",84,"105,243","170,510","$68,701.33","$21,827.33","$60,366.64","$11,856.54",44.8%,18.6%,79.8%,5.7,96.8%,8.7,19.2%,10.7%,52.1%,75.8%,25.64,0.40,37.8%,85.1%,$0.15,$0.05,$0.13,$0.03,$6.12
22,"412,914","384,226","391,955","364,015","224,470","1,173,984","704,079","398,608","3,941,153",84.1,"170,728","79,087","143,535","377,600",37.5,37.5,"251,289","455,256","110,116","2,295,190","745,432",587,"10,989",80,"77,925","152,076","$33,467.80","$10,295.44","$25,619.79","$3,874.64",45.7%,5.3%,60.0%,1.7,91.4%,3.0,41.3%,19.2%,34.8%,54.4%,9.54,0.39,26.7%,63.5%,$0.08,$0.02,$0.06,$0.01,$3.05
23,"415,820","387,328","380,183","353,052","267,917","1,732,213","1,211,039","386,997","6,148,191",110.7,"127,290","68,892","185,483","392,089",48.9,31.5,"370,974","661,187","130,941","2,887,750","1,291,569",926,"11,155",73,"82,937","163,015","$35,840.74","$10,761.89","$30,652.17","$6,906.45",44.3%,8.8%,69.9%,2.9,94.3%,4.6,30.6%,16.6%,44.6%,64.4%,14.79,0.38,31.5%,74.6%,$0.09,$0.03,$0.07,$0.02,$3.21
24,"393,982","366,279","377,545","350,447","180,260","880,105","438,756","384,143","2,888,144",85.9,"194,128","79,818","105,080","353,203",54.9,58.4,"167,869","310,983","80,548","1,761,635","470,388",384,"11,054",74,"66,383","155,602","$23,924.11","$7,286.26","$19,258.95","$2,453.89",44.0%,4.3%,49.9%,1.1,89.6%,2.3,49.3%,20.3%,26.7%,45.8%,7.33,0.35,20.4%,53.4%,$0.06,$0.02,$0.05,$0.01,$2.16
25,"377,257","351,166","373,317","347,162","19,763","434,338","46,630","379,196","846,322",28.4,"350,737","10,649","12,897","245,638",59.0,49.3,"8,729","29,995","6,232","269,325","50,986",38,"10,277",80,"46,044","146,288","$11,454.72","$2,944.06","$9,674.58",$243.60,43.5%,1.1%,10.7%,0.1,65.1%,1.2,93.0%,2.8%,3.4%,5.2%,2.24,0.07,1.7%,11.7%,$0.03,$0.01,$0.03,$0.00,$1.11
26,"367,080","341,531","355,550","330,642","165,194","781,809","388,098","356,203","2,415,583",74.6,"187,058","76,106","92,598","322,596",42.6,59.9,"127,012","231,027","63,460","1,332,325","413,212",227,"10,268",82,"36,912","139,033","$11,870.60","$2,199.19","$11,056.94","$1,656.62",41.4%,3.2%,49.6%,1.1,87.9%,2.2,51.0%,20.7%,25.2%,45.0%,6.58,0.30,17.3%,52.9%,$0.03,$0.01,$0.03,$0.00,$1.16
27,"370,543","344,003","355,554","329,842","182,181","989,796","567,448","357,009","3,298,757",99.7,"172,628","67,969","115,245","330,416",57.8,47.3,"101,418","268,504","61,148","1,925,740","606,220",553,"10,961",80,"47,975","147,302","$18,975.50","$4,287.23","$16,623.17","$3,754.85",41.4%,4.1%,57.3%,1.5,89.2%,2.8,46.6%,18.3%,31.1%,49.2%,8.90,0.27,16.5%,61.2%,$0.05,$0.01,$0.04,$0.01,$1.73
28,"400,632","373,555","359,325","333,597","290,700","2,243,995","1,705,442","367,154","7,104,397",101.9,"92,739","53,595","214,808","383,014",34.1,25.6,"204,567","512,022","83,160","2,843,115","1,802,091","1,294","11,951",74,"78,250","176,039","$37,969.47","$7,155.42","$30,785.67","$9,161.88",41.9%,10.7%,76.0%,4.3,95.6%,6.2,23.1%,13.4%,53.6%,72.6%,17.73,0.23,20.8%,80.3%,$0.09,$0.02,$0.08,$0.02,$3.18
29,"355,736","330,353","335,008","310,412","211,142","1,211,194","781,897","336,398","4,142,494",86.5,"126,150","64,494","144,714","328,053",43.6,34.5,"247,702","416,630","93,619","1,895,520","832,017",708,"11,067",75,"64,851","155,391","$26,805.56","$6,350.65","$20,308.75","$4,959.96",39.0%,6.0%,64.6%,2.2,92.2%,3.6,35.5%,18.1%,40.7%,59.4%,11.64,0.34,26.3%,68.7%,$0.08,$0.02,$0.06,$0.01,$2.42
30,"373,741","347,870","348,262","323,265","245,425","1,438,317","982,246","356,027","4,385,084",89.3,"111,728","62,166","176,314","349,741",45.0,32.5,"28,001","235,270","12,393","2,588,630","1,043,168",912,"11,814",72,"71,300","169,046","$26,276.53","$4,393.47","$20,824.48","$6,032.88",40.6%,7.1%,68.3%,2.6,93.6%,4.1,29.9%,16.6%,47.2%,65.7%,11.73,0.16,3.3%,72.5%,$0.07,$0.01,$0.06,$0.02,$2.22
31,"349,001","324,812","337,413","313,588","135,880","668,410","285,458","343,112","1,937,216",83.4,"196,278","72,408","70,163","302,543",47.5,28.7,"24,363","103,003","10,217","1,024,295","304,919",201,"10,496",80,"49,526","145,659","$14,308.96","$1,569.12","$10,043.98","$1,326.84",39.3%,3.5%,42.7%,0.8,86.7%,2.0,56.2%,20.7%,20.1%,38.9%,5.55,0.15,2.9%,45.6%,$0.04,$0.00,$0.03,$0.00,$1.36
32,"373,573","348,509","344,680","320,377","97,727","795,162","384,543","351,114","2,446,268",72.1,"260,221","42,376","44,204","312,881",46.0,38.6,"127,183","225,275","54,334","1,073,130","419,717",219,"11,466",83,"48,793","149,422","$15,283.63","$3,650.72","$13,710.19","$1,596.43",40.2%,8.1%,48.4%,1.0,83.8%,2.3,69.7%,11.3%,11.8%,26.2%,6.55,0.28,14.5%,52.8%,$0.04,$0.01,$0.04,$0.00,$1.33
33,"330,608","306,967","325,785","302,337","56,198","421,515","80,958","326,312","1,170,219",89.9,"263,011","44,474","18,411","268,646",61.9,46.8,"13,096","50,469","8,907","599,730","87,554",73,"10,422",90,"27,369","123,148","$8,754.38","$1,940.81","$7,608.10",$535.24,38.0%,1.5%,19.2%,0.2,81.3%,1.3,79.6%,13.5%,5.6%,17.0%,3.54,0.12,2.7%,20.8%,$0.03,$0.01,$0.02,$0.00,$0.84
34,"363,414","338,378","342,082","317,179","150,993","818,715","419,609","347,811","2,460,002",66.4,"195,076","69,415","79,631","319,836",35.7,24.5,"111,288","230,493","49,153","1,321,205","449,755",213,"11,064",90,"34,459","133,730","$13,981.10","$3,067.06","$13,070.63","$1,534.63",39.9%,6.3%,51.3%,1.2,88.0%,2.4,53.7%,19.1%,21.9%,41.5%,6.77,0.28,13.5%,54.9%,$0.04,$0.01,$0.04,$0.00,$1.26
35,"337,749","313,396","323,617","300,053","171,372","843,158","466,499","324,154","2,778,173",75.7,"150,190","69,267","104,352","305,733",43.0,39.5,"171,147","325,991","81,415","1,558,750","497,709",284,"10,703",95,"35,101","115,899","$15,491.33","$4,253.43","$13,714.90","$2,071.82",37.7%,4.3%,55.3%,1.4,90.5%,2.6,44.5%,20.5%,30.9%,50.7%,8.23,0.39,24.1%,59.0%,$0.05,$0.01,$0.04,$0.01,$1.45
36,"329,233","305,421","320,470","297,221","142,718","686,166","327,392","320,970","2,083,108",76.9,"172,210","68,350","80,066","288,634",34.6,24.7,"105,776","207,457","54,856","1,162,415","346,092",225,"10,598",100,"33,293","104,593","$14,134.00","$4,201.30","$12,149.00","$1,804.57",37.3%,2.7%,47.7%,1.0,87.7%,2.1,52.3%,20.8%,24.3%,43.3%,6.33,0.30,16.7%,50.4%,$0.04,$0.01,$0.04,$0.01,$1.33
37,"336,738","313,090","311,122","288,796","221,867","1,702,611","1,266,347","311,611","5,781,769",107.7,"100,151","50,609","160,532","317,430",44.0,29.7,"281,369","573,725","87,413","2,560,335","1,348,575",787,"10,820",95,"52,728","118,363","$26,747.60","$6,824.91","$23,063.14","$5,889.88",36.3%,7.8%,74.4%,3.8,94.3%,5.5,29.7%,15.0%,47.7%,65.9%,17.17,0.34,26.0%,79.2%,$0.08,$0.02,$0.07,$0.02,$2.47
38,"336,740","313,341","322,820","299,811","167,036","866,862","481,525","328,559","2,918,473",83.2,"153,797","66,864","103,811","303,768",52.8,41.0,"208,886","353,773","92,981","1,665,190","517,510",337,"10,790",92,"50,531","120,656","$19,207.90","$5,546.22","$15,139.04","$2,296.30",37.6%,4.3%,55.5%,1.4,90.2%,2.7,45.7%,19.9%,30.8%,49.6%,8.67,0.41,27.6%,59.7%,$0.06,$0.02,$0.04,$0.01,$1.78
39,"339,109","315,744","315,650","293,264","235,809","1,635,455","1,206,103","321,353","4,806,802",89.6,"89,419","52,874","174,677","319,354",33.6,18.7,"19,475","281,512","11,768","2,343,350","1,273,852",952,"10,917",86,"63,036","131,485","$24,041.07","$4,345.24","$19,557.84","$7,069.63",36.8%,7.1%,73.7%,3.6,94.2%,5.2,26.4%,15.6%,51.5%,69.5%,14.17,0.17,3.5%,77.9%,$0.07,$0.01,$0.06,$0.02,$2.20
40,"369,165","345,265","301,674","280,032","288,918","3,509,072","2,894,408","307,403","12,435,084",80.3,"60,818","35,304","207,509","361,664",43.8,34.4,"718,847","1,246,651","170,371","3,303,245","3,091,684","1,641","11,707",67,"100,555","156,853","$55,634.35","$15,303.04","$45,423.35","$12,098.02",35.2%,18.9%,82.5%,7.8,98.0%,11.6,16.5%,9.6%,56.2%,78.3%,33.68,0.36,46.2%,88.1%,$0.15,$0.04,$0.12,$0.03,$4.75
41,"296,291","275,257","284,198","263,893","149,496","801,805","450,785","284,566","2,894,857",119.4,"131,126","55,435","97,740","265,957",53.9,20.2,"223,068","373,483","95,785","1,736,875","483,771",481,"10,679",67,"61,697","118,584","$23,555.53","$7,897.29","$16,519.34","$3,719.77",33.1%,4.1%,56.2%,1.5,89.8%,2.8,44.3%,18.7%,33.0%,50.5%,9.77,0.47,32.3%,60.3%,$0.08,$0.03,$0.06,$0.01,$2.21
42,"289,672","269,179","281,355","261,264","138,042","698,006","373,930","281,747","2,327,447",106.0,"138,993","54,815","87,657","258,646",33.2,17.4,"159,019","256,550","75,371","1,186,515","397,250",338,"10,616",70,"50,182","117,208","$16,214.05","$4,966.27","$12,599.91","$2,649.40",32.8%,2.9%,53.6%,1.3,89.3%,2.5,48.0%,18.9%,30.3%,47.7%,8.03,0.37,26.0%,56.9%,$0.06,$0.02,$0.04,$0.01,$1.53
43,"285,971","265,647","279,941","259,939","114,458","536,909","229,241","280,339","1,668,480",92.6,"158,996","61,868","59,214","251,344",32.8,25.0,"86,827","150,625","46,906","822,250","243,152",221,"10,570",74,"37,491","111,452","$11,687.04","$3,275.18","$9,479.01","$1,808.65",32.6%,2.1%,42.7%,0.8,87.9%,1.9,55.6%,21.6%,20.7%,40.0%,5.83,0.28,16.4%,45.3%,$0.04,$0.01,$0.03,$0.01,$1.11
